datetime,close,open,high,low,volume
2024-01-01,100.10005001667083,100.0,100.60055026675418,99.5,100000
2024-01-02,100.20020013340003,100.10005001667083,100.70120113406702,99.59954976658749,100000
2024-01-03,100.3004504503377,100.20020013340003,100.80195270258939,99.69919913273303,100000
2024-01-04,100.40080106773419,100.3004504503377,100.90280507307286,99.79894819808602,100000
2024-01-05,100.5012520859401,100.40080106773419,101.00375834636978,99.89879706239552,100000
2024-01-08,100.60180360540649,100.5012520859401,101.1048126234335,99.9987458255104,100000
2024-01-09,100.70245572668486,100.60180360540649,101.20596800531827,100.09879458737946,100000
2024-01-10,100.80320855042734,100.70245572668486,101.30722459317947,100.19894344805144,100000
2024-01-11,100.90406217738679,100.80320855042734,101.40858248827371,100.2991925076752,100000
2024-01-12,101.00501670841679,100.90406217738679,101.51004179195887,100.39954186649986,100000
2024-01-15,101.10607224447195,101.00501670841679,101.6116026056943,100.49999162487471,100000
2024-01-16,101.20722888660778,101.10607224447195,101.7132650310408,100.60054188324959,100000
2024-01-17,101.30848673598092,101.20722888660778,101.81502916966082,100.70119274217474,100000
2024-01-18,101.40984589384922,101.30848673598092,101.91689512331845,100.80194430230101,100000
2024-01-19,101.51130646157189,101.40984589384922,102.01886299387974,100.90279666437998,100000
